=== Google Apps Script Projects ===
[1] 주말 경제 뉴스 생성 | ID: 1kgp-qF7pwekx_VZ_1kVZ4XMbNZGYbL_FlXOJI6E8UeUeoiCRQoE7Gtes | Modified: 2026-06-03T12:53:49.577Z
[2] 매일 경제뉴스 생성 | ID: 1C4SmIseUA28iTVmYeYcteukRL9aXBcdcK_NvnuSILDjFwxfr4x6nrp1P | Modified: 2026-06-03T12:35:17.945Z
[3] 제목 없는 프로젝트 | ID: 1NrVqbyfsrEghfM42vIJgW5_ayVhM5jV2x8BIIG4NgNoBzgkRXYCc--gB | Modified: 2026-05-06T01:30:47.545Z
[4] 제목 없는 프로젝트 | ID: 19bFs6QW1-F3ec8RDaEvJkNqGW3htaLxracavLA9YXSPzYTVtNQFKTwUY | Modified: 2026-03-16T02:36:45.781Z
[5] 제목 없는 프로젝트 | ID: 1jpxnsyyg8z4iDxxSz_vLmoSniqc-gV4E_CHAK-RjNLT_N2sI6GxeS56e | Modified: 2026-03-16T02:33:09.996Z
[6] 제목 없는 프로젝트 | ID: 1QKzh25G-HBDLrlTXZT8T3WbofpRvw468gPamzqBbYd7A0Mrq3Fv-Ha7i | Modified: 2026-03-13T00:41:10.666Z
[7] 제목 없는 프로젝트 | ID: 1XCqPOV7h0TgRn0Kd2wQvDk7ns1BEnRhlqitnDIytBHo6WbYht0tTDMOR | Modified: 2026-02-27T13:49:37.889Z
[8] 제목 없는 프로젝트 | ID: 11WYiNnjkXgpUz0C5TZ2dxh7n0zZKOmLJjOwsXfbnCPzMiut5_HgyA5ot | Modified: 2026-02-24T04:31:47.107Z
[9] 제목 없는 프로젝트 | ID: 1lGlbWbyIZ18VeZhuKeFGBCp2Cq5A5_5fg8p009OnqfjYzv_afU0RcPMk | Modified: 2026-02-17T04:55:49.201Z

=== Keyword Search (news, economy, report, telegram) ===
[1] daily_news_history.log | ID: 1lCA_A6cLNkE83sp46USuhruOe7RBvlg8 | Mime: text/plain | Modified: 2026-06-04T00:25:46.845Z
[2] 2026-06-04_Macro_Briefing.html | ID: 1pvX6teP2kCfYJy1QzrZJNzMClYpV0CS4 | Mime: text/html | Modified: 2026-06-04T00:25:38.063Z
[3] 2026-06-04_Macro_Briefing.md | ID: 1yiVucKtwyv4O79URxAnzfsTza9tCfOhQ | Mime: text/markdown | Modified: 2026-06-04T00:25:37.351Z
[4] 2026-06-04_Macro_Briefing | ID: 1cFqXP8MM2FaSIcPoSISa9bpY6VVYqBK5wwf4rhunzWs | Mime: application/vnd.google-apps.document | Modified: 2026-06-04T00:25:34.837Z
[5] 주말 경제 뉴스 생성 | ID: 1kgp-qF7pwekx_VZ_1kVZ4XMbNZGYbL_FlXOJI6E8UeUeoiCRQoE7Gtes | Mime: application/vnd.google-apps.script | Modified: 2026-06-03T12:53:49.577Z
[6] weekend_news_gas.js | ID: 1QQuUM8wvkyB2xaPtFnuh4QKU5PGXxXd1 | Mime: text/javascript | Modified: 2026-06-03T12:53:05.413Z
[7] daily_news.py | ID: 1HRNVz-5uVkeouE1fx2KbDI3sXoyEtlK3 | Mime: text/x-python | Modified: 2026-06-03T12:45:19.400Z
[8] weekday_news_gas.js | ID: 10ZBnZ7_aWZkAlYGI-Z59dJkhOIBqugIL | Mime: text/javascript | Modified: 2026-06-03T12:43:12.076Z
[9] 매일 경제뉴스 생성 | ID: 1C4SmIseUA28iTVmYeYcteukRL9aXBcdcK_NvnuSILDjFwxfr4x6nrp1P | Mime: application/vnd.google-apps.script | Modified: 2026-06-03T12:35:17.945Z
[10] daily_news.cpython-312.pyc | ID: 1exet03EdUOoPzCc8K8HqU0lPQJCtCnGH | Mime: application/x-python-code | Modified: 2026-06-03T12:30:01.769Z
[11] 2026-06-03_Macro_Professional_Report.md | ID: 1GNm0iVO3lJXrZgPKwkGjAiqax7OLEnBu | Mime: text/plain | Modified: 2026-06-03T06:19:14.952Z
